Year	StatType	Terms	Statistic	P-Value	Additional Info
2011	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.537548314085392	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2011	chisq		9693.82160370096	0.0	
2011	tost		59.2541174892786	1.0	
2012	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	44.84737114106852	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2012	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	114.88674107835449	0.0	Reporting on z test of proportions.
2012	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	41.56846168570152	NOTSURE	Small number of window hits make p-value calculation difficult.
2012	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	82.85736998844601	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 429.03534979139926-465.59325275383117    CI2: 4.631852194497175-6.281780750177608 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2012	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.51702308158021	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2012	chisq		10341.001236809443	0.0	
2012	tost		61.01929423539285	1.0	
2013	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	46.47673830908188	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2013	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	118.38771330838337	0.0	Reporting on z test of proportions.
2013	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	126.72149643705464	NOTSURE	Small number of window hits make p-value calculation difficult.
2013	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	87.18430920825546	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 424.39594977708873-458.7896676259018    CI2: 4.350823499863072-5.887578787713971 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2013	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.770836944120435	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2013	chisq		10931.789373915119	0.0	
2013	tost		62.12996788479547	1.0	
2014	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	46.61600118012341	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2014	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	121.83059256156511	0.0	Reporting on z test of proportions.
2014	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	38.11473230900101	NOTSURE	Small number of window hits make p-value calculation difficult.
2014	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	88.7121618626368	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 420.17638609708985-452.59957344229724    CI2: 4.240564861675091-5.698436926530548 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2014	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.672332781162576	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2014	chisq		11520.966956519002	0.0	
2014	tost		63.69657186582203	1.0	
2015	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	47.75162649985929	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2015	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	125.02892910524919	0.0	Reporting on z test of proportions.
2015	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	86.2936624907885	NOTSURE	Small number of window hits make p-value calculation difficult.
2015	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	91.62126399149537	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 410.80123195244573-441.0797685779691    CI2: 4.013753011441231-5.377812708281857 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2015	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	5.882161595465976	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2015	chisq		12090.025062777475	0.0	
2015	tost		64.79724375669882	1.0	
2016	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	48.43024104636113	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2016	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	127.72024728839314	0.0	Reporting on z test of proportions.
2016	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	71.1277437927312	NOTSURE	Small number of window hits make p-value calculation difficult.
2016	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	93.43946809896649	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 402.1121336734287-430.56389558023835    CI2: 3.853423756407374-5.1460891101263995 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2016	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.011775141036594	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2016	chisq		12591.06829711754	0.0	
2016	tost		65.81059629083198	1.0	
2017	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	48.91677035764272	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2017	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	130.08195141923795	0.0	Reporting on z test of proportions.
2017	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	68.57975236707941	NOTSURE	Small number of window hits make p-value calculation difficult.
2017	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	94.44290549263555	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 390.45839928300205-417.0688001623941    CI2: 3.703350562769717-4.930023261591887 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2017	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.148572248543092	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2017	chisq		13047.525604641907	0.0	
2017	tost		66.73814741433804	1.0	
2018	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	49.33659441685781	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2018	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	132.81796388909856	0.0	Reporting on z test of proportions.
2018	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	56.41571886847478	NOTSURE	Small number of window hits make p-value calculation difficult.
