Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
2008	autism	9233	vaccine|vaccines|vaccination|vaccinal	140660	253	[9500320, 15121991, 10376617, 21783611, 12421889, 12216059, 11222420, 16327577, 11850369, 10648110, 11581466, 11339848, 16512356, 14595043, 17898097, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 15342856, 15877763, 9643797, 11395196, 15184908, 12880876, 18482737, 12415036, 10759242, 16685178, 15113435, 17448359, 18180424, 15184221, 16729252, 16564116, 10489978, 17395344, 16352657, 18381512, 12876158, 11331734, 14754936, 18172138, 12773696, 18769550, 16235361, 12145534, 12922137, 16547798, 11154622, 17928818, 17168158, 11224968, 16807526, 16282928, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 17454560, 14604564, 14580127, 15795695, 19106436, 1036494, 9529392, 15514229, 15259839, 17015560, 14976450, 17540488, 12045734, 10867750, 17977901, 15082108, 18480200, 14761240, 18627794, 12849883, 14695031, 14534046, 17181438, 15568260, 15886167, 12484693, 16555271, 9525390, 16865547, 11231881, 19015994, 15249304, 17351489, 16808699]	0.2126638502352839	1.8374214645502286e-67	0.0017986634437651074	19189069
2009	autism	10542	vaccine|vaccines|vaccination|vaccinal	150302	279	[9500320, 15121991, 10376617, 21783611, 12421889, 12216059, 11222420, 16327577, 11850369, 10648110, 11581466, 11339848, 16512356, 14595043, 17898097, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 19128068, 15342856, 15877763, 9643797, 11395196, 15184908, 19097825, 12880876, 18482737, 12415036, 10759242, 19255027, 16685178, 15113435, 17448359, 18180424, 19298142, 15184221, 16729252, 16564116, 10489978, 17395344, 16352657, 18381512, 12876158, 11331734, 14754936, 18172138, 12773696, 18769550, 16235361, 12145534, 12922137, 16547798, 11154622, 17928818, 17168158, 11224968, 16807526, 16282928, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 17454560, 14604564, 14580127, 15795695, 19106436, 19054269, 1036494, 19758536, 9529392, 15514229, 15259839, 17015560, 14976450, 17540488, 12045734, 19896907, 10867750, 17977901, 15082108, 18480200, 14761240, 18627794, 12849883, 14695031, 14534046, 17181438, 15568260, 19478850, 15886167, 12484693]	0.2168830658141536	9.205646042948265e-69	0.0018562627243815784	19974534
2010	autism	12157	vaccine|vaccines|vaccination|vaccinal	160718	309	[9500320, 15121991, 10376617, 21783611, 12421889, 20194286, 12216059, 11222420, 16327577, 20087185, 11850369, 10648110, 11581466, 11339848, 16512356, 14595043, 17898097, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 19128068, 15342856, 15877763, 9643797, 11395196, 15184908, 19097825, 12880876, 20837594, 18482737, 12415036, 10759242, 19255027, 16685178, 19774457, 15113435, 17448359, 18180424, 19298142, 15184221, 16729252, 16564116, 10489978, 17395344, 16352657, 12876158, 18381512, 11331734, 14754936, 18172138, 12773696, 20142376, 16235361, 12145534, 18769550, 12922137, 16547798, 11154622, 17928818, 17168158, 11224968, 16282928, 16807526, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 17454560, 14604564, 14580127, 15795695, 1036494, 19106436, 19758536, 19054269, 20450324, 9529392, 21058170, 15514229, 15259839, 17015560, 20513736, 14976450, 17540488, 12045734, 19896907, 20055965, 17977901, 15082108, 10867750, 18480200, 14761240]	0.21947224548987998	1.584654352240079e-69	0.0019226222327306214	20804906
2011	autism	14011	vaccine|vaccines|vaccination|vaccinal	171994	335	[9500320, 15121991, 10376617, 21783611, 12421889, 20194286, 12216059, 11222420, 16327577, 20087185, 11850369, 10648110, 11581466, 11339848, 16512356, 21209060, 14595043, 17898097, 14519711, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 19128068, 15342856, 15877763, 9643797, 11395196, 15184908, 19097825, 12880876, 20837594, 18482737, 21592674, 12415036, 10759242, 19255027, 16685178, 19774457, 15113435, 17448359, 18180424, 19298142, 15184221, 16729252, 16564116, 10489978, 17395344, 16352657, 12876158, 18381512, 11331734, 14754936, 18172138, 12773696, 20142376, 16235361, 12145534, 18769550, 12922137, 16547798, 11154622, 17928818, 17168158, 11224968, 16282928, 16807526, 21917556, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 22099159, 17454560, 14604564, 14580127, 15795695, 1036494, 19106436, 19758536, 19054269, 21299355, 21772639, 20450324, 9529392, 21058170, 15514229, 15259839, 17015560, 20513736, 14976450, 17540488, 12045734, 19896907]	0.20975399761418156	2.3241027727067393e-66	0.0019477423631056897	21681503
2012	autism	16268	microbiome|gut microbiome|gut microbiota|microbiota	7412	13	[21949732, 23990817, 22233678, 20337404, 22997101, 9881820, 22114588, 21485746, 22306194, 22736019, 21087057, 22179208, 23990818]	0.013534682201400045	0.003421810557235968	0.0017539125742039934	22627076
2012	autism	16268	vaccine|vaccines|vaccination|vaccinal	183567	360	[9500320, 15121991, 10376617, 21783611, 26173286, 12421889, 20194286, 12216059, 11222420, 16327577, 20087185, 11850369, 10648110, 11581466, 11339848, 16512356, 21209060, 14595043, 17898097, 14519711, 22336803, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 19128068, 15342856, 15877763, 9643797, 11395196, 15184908, 19097825, 12880876, 20837594, 18482737, 21592674, 12415036, 10759242, 19255027, 16685178, 19774457, 15113435, 17448359, 18180424, 19298142, 15184221, 16729252, 16564116, 10489978, 17395344, 16352657, 12876158, 18381512, 11331734, 14754936, 18172138, 22496631, 12773696, 22230590, 20142376, 16235361, 12145534, 18769550, 12922137, 16547798, 11154622, 17928818, 17168158, 11224968, 16282928, 16807526, 21917556, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 22099159, 17454560, 14604564, 14580127, 15795695, 1036494, 19106436, 19758536, 19054269, 21299355, 21772639, 20450324, 9529392, 21058170, 22350041, 15514229, 15259839, 17015560]	0.19267812426601197	7.876508213352582e-61	0.0019611368056349997	22627076
2013	autism	18851	microbiome|gut microbiome|gut microbiota|microbiota	10005	27	[24315484, 23844187, 24130822, 21949732, 23990817, 22233678, 24188502, 20337404, 23342949, 23307560, 23400224, 9881820, 22997101, 22114588, 23656715, 23257018, 24416709, 21485746, 22306194, 22736019, 21087057, 24991177, 22179208, 23587115, 23990818, 24416703, 24416707]	0.030784499011005637	9.785662700879372e-08	0.0026986506746626685	23614057
2013	autism	18851	vaccine|vaccines|vaccination|vaccinal	195568	384	[9500320, 15121991, 10376617, 21783611, 26173286, 12421889, 20194286, 12216059, 11222420, 16327577, 20087185, 11850369, 10648110, 11581466, 11339848, 16512356, 21209060, 14595043, 17898097, 14519711, 22336803, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 19128068, 15342856, 15877763, 9643797, 23609067, 23179969, 11395196, 15184908, 23570274, 19097825, 12880876, 20837594, 18482737, 21592674, 12415036, 10759242, 19255027, 16685178, 19774457, 15113435, 17448359, 18180424, 19298142, 15184221, 23811786, 16729252, 16564116, 10489978, 17395344, 16352657, 12876158, 18381512, 11331734, 14754936, 18172138, 22496631, 12773696, 22230590, 20142376, 16235361, 12145534, 18769550, 12922137, 16547798, 11154622, 23324619, 17928818, 17168158, 11224968, 16282928, 16807526, 21917556, 15816809, 12199139, 16207728, 12922131, 11015547, 9880088, 22099159, 17454560, 14604564, 14580127, 15795695, 1036494, 19106436, 19758536, 19054269, 21299355, 21772639, 20450324, 9529392]	0.17148678785472432	5.5426653424094e-54	0.0019635114129100874	23614057
2014	autism	21750	microbiome|gut microbiome|gut microbiota|microbiota	13359	49	[24315484, 23844187, 25392516, 24130822, 24370461, 24286462, 21949732, 24333160, 23990817, 22233678, 24188502, 20337404, 24997043, 23342949, 25145752, 23307560, 23400224, 9881820, 22997101, 25170769, 23981537, 22114588, 25642449, 23656715, 23257018, 24466331, 24416709, 24747144, 24720613, 21485746, 24997041, 24909808, 22306194, 22736019, 24712423, 21087057, 24991177, 25305474, 22179208, 25344727, 25175350, 24639668, 26104352, 23587115, 23990818, 24366270, 24438664, 24416703, 24416707]	0.059804398116532376	4.708855341410402e-16	0.003667939217007261	24655223
2014	autism	21750	vaccine|vaccines|vaccination|vaccinal	208203	409	[9500320, 15121991, 24590751, 10376617, 21783611, 26173286, 12421889, 20194286, 12216059, 11222420, 16327577, 20087185, 11850369, 10648110, 11581466, 24814559, 11339848, 16512356, 21209060, 14595043, 17898097, 14519711, 22336803, 25199954, 15804954, 15342825, 16264412, 15998608, 12949291, 15364187, 12933322, 16157422, 19128068, 15342856, 15877763, 9643797, 23609067, 23179969, 25108215, 11395196, 15184908, 25086160, 23570274, 19097825, 12880876, 20837594, 18482737, 21592674, 12415036, 10759242, 19255027, 16685178, 19774457, 15113435, 17448359, 18180424, 19298142, 15184221, 23811786, 16729252, 16564116, 10489978, 17395344, 16352657, 12876158, 18381512, 11331734, 14754936, 18172138, 22496631, 12773696, 22230590, 20142376, 16235361, 12145534, 18769550, 12922137, 16547798, 11154622, 23324619, 17928818, 17168158, 11224968, 16282928, 16807526, 21917556, 15816809, 12199139, 24952233, 16207728, 12922131, 11015547, 9880088, 22099159, 17454560, 14604564, 14580127, 15795695, 1036494, 19106436]	0.15013140071103506	4.390428054710953e-47	0.001964428946749086	24655223
