Year	StatType	Terms	Statistic	P-Value	Additional Info
2021	ratio_of_fet_stats	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.076120448	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.687818955840812-5.784273456681381    CI2: 3.7053918382722904-6.31922383473654 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
2021	ratio_of_pred_scores	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	5.673782826	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2021	chisq		0.275776365	0.599482995	
2021	tost		-1.111414785	0.133194926	
2022	ratio_of_ratios_FET_ratios_directly	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.05884217	0.610149855	Reporting FET on the AB hits and B totals. Probably CORRECT.
2022	ratio_of_ratios_zprop	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	0.552830055	0.580379786	Reporting on z test of proportions.
2022	windowed_ratio_of_rat_or_int	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	0.727943643	NOTSURE	Small number of window hits make p-value calculation difficult.
2022	ratio_of_fet_stats	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.070042485	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.6660587845688575-5.614319687702811    CI2: 3.715592372885185-6.157681746730053 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
2022	ratio_of_pred_scores	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	6.561682666	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2022	chisq		0.247550694	0.618805014	
2022	tost		-1.251869037	0.105308794	
2023	ratio_of_ratios_FET_ratios_directly	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.049154902	0.657989253	Reporting FET on the AB hits and B totals. Probably CORRECT.
2023	ratio_of_ratios_zprop	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	0.482210863	0.629656161	Reporting on z test of proportions.
2023	windowed_ratio_of_rat_or_int	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.043376145	NOTSURE	Small number of window hits make p-value calculation difficult.
2023	ratio_of_fet_stats	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.061005956	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.385327546644769-5.19382304435317    CI2: 3.522255569503553-5.744241337558239 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
2023	ratio_of_pred_scores	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	7.292780388	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2023	chisq		0.184296935	0.667706235	
2023	tost		-1.391643586	0.082015177	
2024	ratio_of_ratios_FET_ratios_directly	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.051665637	0.658179782	Reporting FET on the AB hits and B totals. Probably CORRECT.
2024	ratio_of_ratios_zprop	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	0.506459158	0.612534354	Reporting on z test of proportions.
2024	windowed_ratio_of_rat_or_int	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2024	ratio_of_fet_stats	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	1.063627208	1	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.379812102506907-5.183647827123719    CI2: 3.507933956484037-5.72085161118488 CIs ( NEED to add CIINFO for KM here.) OVERLAP. NOT SIGNIFICANT at CI LEVEL:0.99"
2024	ratio_of_pred_scores	"microbiome|gut microbiome|gut microbiota|microbiota,genetic predisposition"	7.368842786	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2024	chisq		0.205602534	0.650236146	
2024	tost		-1.368220133	0.085621591	
