Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1991	scrapie	1121	protein&infection	8994	53	[6801762, 1968466, 3079955, 6685822, 3096712, 3138115, 2562814, 3112607, 6431296, 2505674, 1671170, 1679911, 3529083, 2566212, 2899175, 1704414, 1968104, 2420924, 2875123, 1674826, 2866955, 2878092, 1983782, 2895800, 1672447, 2509571, 1972202, 3554880, 2120561, 2908139, 1681406, 2872607, 7197001, 6815090, 2892856, 2568118, 1761112, 1846182, 3185993, 2568119, 3044707, 1687386, 2513584, 2574874, 1983177, 2900720, 2574875, 2574871, 2900716, 6139943, 2574870, 2574873, 1904658]	0.23612367301669082	1.4093682860953777e-70	0.0058928174338447855	9734824
1991	scrapie	1121	virus infection|viral infectious particle|viral infection	13753	9	[4961240, 4207308, 6272148, 3963585, 566770, 7357057, 173381, 3136063, 6273667]	0.01578297795296491	4.100524203129343e-05	0.0006544026757798299	9734824
1992	scrapie	1207	protein&infection	10279	61	[6801762, 1968466, 3079955, 6685822, 3096712, 3138115, 2562814, 3112607, 6431296, 2505674, 1671170, 1679911, 1348570, 3529083, 2566212, 2899175, 1704414, 1968104, 2420924, 2875123, 1674826, 2866955, 1480316, 2878092, 1983782, 2895800, 1531331, 1672447, 2509571, 1972202, 3554880, 2120561, 2908139, 1681406, 2872607, 7197001, 1334140, 1604783, 6815090, 2892856, 1551009, 2568118, 1761112, 1846182, 3185993, 2568119, 1351748, 3044707, 1687386, 1561742, 2513584, 2574874, 1983177, 2900720, 2574875, 2574871, 2900716, 6139943, 2574870, 2574873, 1904658]	0.266579678555759	2.276056870781469e-80	0.005934429419204202	10156146
1992	scrapie	1207	virus infection|viral infectious particle|viral infection	15258	11	[4961240, 1348570, 4207308, 6272148, 3963585, 566770, 7357057, 173381, 3136063, 6273667, 1811184]	0.019421823475816467	3.2342729620867036e-06	0.000720933280901822	10156146
1993	scrapie	1305	protein&infection	11652	70	[6801762, 1968466, 3079955, 6685822, 3096712, 3138115, 2562814, 3112607, 6431296, 2505674, 1671170, 1679911, 1348570, 3529083, 2566212, 2899175, 1704414, 1968104, 2420924, 2875123, 1674826, 2866955, 1480316, 2878092, 1983782, 2895800, 8350771, 1531331, 1672447, 2509571, 1972202, 3554880, 2120561, 8270103, 2908139, 1681406, 2872607, 7197001, 1334140, 8412623, 8095862, 1604783, 6815090, 2892856, 1551009, 2568118, 1761112, 1846182, 3185993, 2568119, 8137128, 1351748, 8137126, 3044707, 8517790, 8407247, 1687386, 1561742, 8270111, 2513584, 2574874, 1983177, 2900720, 2574875, 2574871, 2900716, 6139943, 2574870, 2574873, 1904658]	0.30057341340938304	2.8646783407173503e-91	0.0060075523515276345	10581310
1993	scrapie	1305	virus infection|viral infectious particle|viral infection	16836	12	[4961240, 1348570, 4207308, 6272148, 3963585, 566770, 7357057, 173381, 8017235, 3136063, 6273667, 1811184]	0.020093643027328446	1.922634789488913e-06	0.0007127583749109052	10581310
1994	scrapie	1422	protein&infection	13178	86	[6801762, 1968466, 3079955, 6685822, 3096712, 3138115, 2562814, 3112607, 6431296, 8154865, 2505674, 8790598, 1671170, 1679911, 1348570, 8139024, 3529083, 2566212, 2899175, 1704414, 1968104, 7912827, 2420924, 2875123, 1674826, 2866955, 7820594, 1480316, 8030941, 2878092, 1983782, 2895800, 8350771, 1531331, 7915757, 1672447, 7933137, 2509571, 1972202, 3554880, 2120561, 8270103, 2908139, 1681406, 2872607, 7197001, 1334140, 8095862, 8412623, 1604783, 6815090, 9216983, 2892856, 1551009, 8030947, 1761112, 2568118, 3185993, 1846182, 2568119, 8137128, 1351748, 8137126, 3044707, 8517790, 8407247, 1687386, 1561742, 2513584, 8030953, 8270111, 16031734, 2574874, 1983177, 2900720, 7913764, 2574875, 7975565, 2574871, 2900716, 8022334, 6139943, 2574870, 2574873, 1904658, 7949355]	0.3702763961553011	3.2321423574085883e-113	0.006526028228866292	11017996
1994	scrapie	1422	virus infection|viral infectious particle|viral infection	18357	12	[4961240, 1348570, 4207308, 6272148, 3963585, 566770, 7357057, 173381, 8017235, 3136063, 6273667, 1811184]	0.01811813573624559	7.208115185707869e-06	0.0006537015852263442	11017996
1995	scrapie	1493	protein&infection	14905	98	[6801762, 1968466, 3079955, 6685822, 3096712, 3138115, 2562814, 3112607, 6431296, 8154865, 2505674, 8790598, 1671170, 8807814, 8520720, 1679911, 1348570, 8139024, 3529083, 7576660, 2566212, 2899175, 1704414, 1968104, 7912827, 2420924, 7708753, 2875123, 1674826, 7782103, 7761460, 2866955, 7820594, 1480316, 8030941, 7770120, 2878092, 1983782, 2895800, 8350771, 1531331, 7915757, 7788281, 1672447, 7933137, 2509571, 8592050, 1972202, 3554880, 2120561, 8270103, 2908139, 1681406, 2872607, 7197001, 1334140, 8095862, 8412623, 1604783, 6815090, 9216983, 2892856, 1551009, 8030947, 1761112, 2568118, 3185993, 1846182, 7783594, 2568119, 8137128, 7812655, 1351748, 8137126, 3044707, 8517790, 8407247, 1687386, 1561742, 7999309, 2513584, 8030953, 8270111, 16031734, 2574874, 1983177, 2900720, 7913764, 2574875, 7975565, 2574871, 2900716, 8022334, 6139943, 2574870, 2574873, 1904658, 7949355]	0.4187126883180031	8.280596640561935e-129	0.0065749748406574975	11466639
1995	scrapie	1493	virus infection|viral infectious particle|viral infection	20040	12	[4961240, 1348570, 4207308, 6272148, 3963585, 566770, 7357057, 173381, 8017235, 3136063, 6273667, 1811184]	0.01666505458548079	1.8514992468810513e-05	0.0005988023952095808	11466639
