Year	StatType	Terms	Statistic	P-Value	Additional Info
2017	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	2.4468282778517363	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2017	chisq		184.51200762757043	5.015701581446608e-42	
2017	tost		10.940162742723677	1.0	
2018	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.338641220269345	1.9352071849982718e-48	Reporting FET on the AB hits and B totals. Probably CORRECT.
2018	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	16.915733736399403	3.444992583162916e-64	Reporting on z test of proportions.
2018	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.431781191695447	NOTSURE	Small number of window hits make p-value calculation difficult.
2018	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.354765631523741	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.75702451048799-6.562612070029507    CI2: 1.4874514817948987-1.8648544579458455 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2018	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.842927438763682	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2018	chisq		281.8597449959169	2.953453845976524e-63	
2018	tost		13.564587000218362	1.0	
2019	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.452147673957037	8.887819643251297e-65	Reporting FET on the AB hits and B totals. Probably CORRECT.
2019	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	19.44928320161686	2.9553331336704173e-84	Reporting on z test of proportions.
2019	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.0182411494037003	NOTSURE	Small number of window hits make p-value calculation difficult.
2019	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.4765168376554403	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.7851613699331335-6.316115745224945    CI2: 1.4180815702104383-1.7634241372294788 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2019	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	5.5793136839206605	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2019	chisq		373.04602982891623	4.0643045267673664e-83	
2019	tost		15.607944953768834	1.0	
2020	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.631739412963635	1.6060925854481113e-87	Reporting FET on the AB hits and B totals. Probably CORRECT.
2020	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	22.450409928230826	1.2679707965997217e-111	Reporting on z test of proportions.
2020	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	4.632798993040747	NOTSURE	Small number of window hits make p-value calculation difficult.
2020	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.6670323734999073	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.7821777091654525-6.081165877399247    CI2: 1.3230442512872633-1.6345894912989276 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2020	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	9.043038812946081	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2020	chisq		497.48141188355714	3.357120847103808e-110	
2020	tost		18.034150651873667	1.0	
2021	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.925158029555021	1.4687095243865795e-119	Reporting FET on the AB hits and B totals. Probably CORRECT.
2021	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	26.11561766544136	2.4235542826751196e-150	Reporting on z test of proportions.
2021	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	8.190728343576236	NOTSURE	Small number of window hits make p-value calculation difficult.
2021	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	3.975298764902074	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.687818955840812-5.784273456681381    CI2: 1.1817226229411524-1.451993091323544 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2021	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	18.762890061398796	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2021	chisq		673.666971369369	1.592762358284989e-148	
2021	tost		20.989412286223253	1.0	
2022	ratio_of_ratios_FET_ratios_directly	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	4.3772656021331455	1.445289659616915e-166	Reporting FET on the AB hits and B totals. Probably CORRECT.
2022	ratio_of_ratios_zprop	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	30.697464970443725	6.152796049071175e-207	Reporting on z test of proportions.
2022	windowed_ratio_of_rat_or_int	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	13.412929321600908	NOTSURE	Small number of window hits make p-value calculation difficult.
2022	ratio_of_fet_stats	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	4.448724098796345	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.6660587845688575-5.614319687702811    CI2: 1.040093989407927-1.2726348523500388 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2022	ratio_of_pred_scores	microbiome|gut microbiome|gut microbiota|microbiota,vaccine|vaccines|vaccination|vaccinal	52.44245020362999	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2022	chisq		931.2275874375725	1.5975178239832177e-204	
2022	tost		24.634145717944914	1.0	
2023	ONLY1		microbiome|gut microbiome|gut microbiota|microbiota	NA	
2024	ONLY1		microbiome|gut microbiome|gut microbiota|microbiota	NA	
