Year	StatType	Terms	Statistic	P-Value	Additional Info
2015	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	6.37003818	NOTSURE	Small number of window hits make p-value calculation difficult.
2015	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	2.901666499	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.1940472411677-8.534755256814348    CI2: 1.8208780003169884-2.334793898966391 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2015	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.687428888	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2015	chisq		57.26095554	3.82E-14	
2015	tost		6.194669611	1	
2016	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.01310266	3.88E-12	Reporting FET on the AB hits and B totals. Probably CORRECT.
2016	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	8.334029739	7.81E-17	Reporting on z test of proportions.
2016	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.788388695	NOTSURE	Small number of window hits make p-value calculation difficult.
2016	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.006944845	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.043819754723999-7.975634494791005    CI2: 1.6734873970823547-2.13149178120661 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2016	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	0.842410532	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2016	chisq		67.06624889	2.63E-16	
2016	tost		6.706812332	1	
2017	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.124285818	7.31E-14	Reporting FET on the AB hits and B totals. Probably CORRECT.
2017	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	9.054018726	1.38E-19	Reporting on z test of proportions.
2017	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.865427509	NOTSURE	Small number of window hits make p-value calculation difficult.
2017	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.121742566	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.977921975131891-7.594430606411788    CI2: 1.5660199504985879-1.9795205551881925 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2017	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.024498831	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2017	chisq		79.36869908	5.15E-19	
2017	tost		7.298086308	1	
2018	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.132179036	7.27E-15	Reporting FET on the AB hits and B totals. Probably CORRECT.
2018	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	9.421751159	4.44E-21	Reporting on z test of proportions.
2018	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.20783982	NOTSURE	Small number of window hits make p-value calculation difficult.
2018	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.132043304	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.8206054604779496-7.1221493399330456    CI2: 1.4874514817948987-1.8648544579458455 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2018	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.165042183	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2018	chisq		86.08677286	1.72E-20	
2018	tost		7.590262395	1	
2019	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.199468989	1.19E-16	Reporting FET on the AB hits and B totals. Probably CORRECT.
2019	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	10.07870347	6.86E-24	Reporting on z test of proportions.
2019	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.012640449	NOTSURE	Small number of window hits make p-value calculation difficult.
2019	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.202143764	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.763515631691139-6.813118174474588    CI2: 1.4180815702104383-1.7634241372294788 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2019	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.378577125	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2019	chisq		98.70389427	2.93E-23	
2019	tost		8.123677457	1	
2020	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.359431237	2.19E-19	Reporting FET on the AB hits and B totals. Probably CORRECT.
