Year	StatType	Terms	Statistic	P-Value	Additional Info
2021	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	5.886089992419099	3.954390505367462e-09	Reporting on z test of proportions.
2021	ci_of_oddsratio	bacteria&infection,psychological&stress	2.5104388952889463	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.576436069765414-4.942047407391321    CI2: 1.523331654739795-2.268229850708111 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2021	chisq		33.72654685712414	6.34291588485643e-09	
2022	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	6.386519552556169	1.6970374423783173e-10	Reporting on z test of proportions.
2022	ci_of_oddsratio	bacteria&infection,psychological&stress	2.6713306317727223	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.492794969046407-4.853063688151514    CI2: 1.3806826490027897-2.1178953802529574 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2022	chisq		39.80354535623217	2.8083486483501775e-10	
2023	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	6.797723063440306	1.06285510218596e-11	Reporting on z test of proportions.
2023	ci_of_oddsratio	bacteria&infection,psychological&stress	2.824750362132439	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.405016492266985-4.760999403012197    CI2: 1.2538677381335077-1.991026401240863 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2023	chisq		45.173049112602904	1.803702910608423e-11	
2024	ratio_of_ratios_zprop	bacteria&infection,psychological&stress	6.836142576219575	8.135397942706223e-12	Reporting on z test of proportions.
2024	ci_of_oddsratio	bacteria&infection,psychological&stress	2.8388486100290313	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 4.417779508854845-4.772932991876757    CI2: 1.2501610810437758-1.9873178279275672 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2024	chisq		45.69158887656696	1.3841585016260257e-11	
