Year	StatType	Terms	Statistic	P-Value	Additional Info
2004	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.233683247	1.14E-222	Reporting FET on the AB hits and B totals. Probably CORRECT.
2004	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-36.48563311	1.87E-291	Reporting on z test of proportions.
2004	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.356659483	NOTSURE	Small number of window hits make p-value calculation difficult.
2004	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.201235025	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 15.508290564363959-18.20707355030437    CI2: 75.90432192703241-91.86084288053878 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2004	ratio_of_pred_scores	"hormone&therapy,statin|statins"	0.6896023	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2004	chisq		1079.274123	1.06E-236	
2004	tost		-29.16978447	1	
2005	ratio_of_ratios_FET_ratios_directly	"hormone&therapy,statin|statins"	0.226727271	6.96E-304	Reporting FET on the AB hits and B totals. Probably CORRECT.
2005	ratio_of_ratios_zprop	"hormone&therapy,statin|statins"	-41.91802162	0	Reporting on z test of proportions.
2005	windowed_ratio_of_rat_or_int	"hormone&therapy,statin|statins"	0.254520918	NOTSURE	Small number of window hits make p-value calculation difficult.
2005	ratio_of_fet_stats	"hormone&therapy,statin|statins"	0.191972717	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 14.614406813430923-17.01720028901195    CI2: 75.70995860618898-89.1327431044027 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2005	ratio_of_pred_scores	"hormone&therapy,statin|statins"	0.674556074	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2005	chisq		1409.995108	0.00E+00	
2005	tost		-33.35877202	1	
