Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1984	cervical cancer	2243	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	11838	87	[6129466, 4345508, 205904, 179694, 4352374, 56227, 766960, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 168937, 6249764, 195975, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 7237368, 7219207, 710808, 6399280, 6277023, 6099637, 174969, 1053388, 230645, 220150, 6271502, 224356, 190133, 6299862, 101081, 6086470, 4323159, 6681607, 4370984, 4368434, 6762291, 6273337, 186361, 5475842, 214612, 6280493, 4352394, 191382, 21286567, 6802172, 4350736, 6247704, 6100279, 191383, 201227, 6197814, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 6261479, 6256973, 213358, 6314363, 392575, 6267816, 6320579, 5100514, 4372969, 6310894, 180730]	0.28718711664997726	1.7673995611606376e-85	0.007349214394323365	7073079
1984	cervical cancer	2243	hpv|human papillomavirus	323	7	[6304740, 6329740, 6282442, 6318956, 6299907, 6305251, 6100284]	0.10677555351552555	1.9957010978525662e-11	0.021671826625386997	7073079
1985	cervical cancer	2446	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	12937	95	[6129466, 4345508, 2981783, 205904, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 3841750, 168937, 6249764, 195975, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 7237368, 7219207, 710808, 6399280, 6277023, 6099637, 174969, 3002511, 1053388, 230645, 220150, 6271502, 224356, 190133, 6299862, 101081, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 186361, 5475842, 214612, 2989664, 3006233, 6280493, 4352394, 191382, 21286567, 6802172, 4350736, 6247704, 6100279, 191383, 201227, 6197814, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 6261479, 6256973, 3015529, 213358, 6314363, 392575, 6267816, 6320579, 5100514, 4372969, 6310894, 180730]	0.3059352601127889	1.5317659261562707e-91	0.007343278967303084	7408101
1985	cervical cancer	2446	hpv|human papillomavirus	433	16	[6304740, 2983228, 6329740, 6282442, 2997616, 6318956, 2981783, 2983861, 6299907, 2996269, 2993370, 2998147, 2987050, 6305251, 3006372, 6100284]	0.2102646973722953	9.206746762546036e-28	0.03695150115473441	7408101
1986	cervical cancer	2698	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	14057	103	[6129466, 4345508, 2981783, 205904, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 3841750, 168937, 6249764, 195975, 3007372, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 220150, 6271502, 224356, 190133, 6299862, 101081, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 186361, 5475842, 214612, 2989664, 3009194, 3006233, 6280493, 4352394, 191382, 21286567, 6802172, 4350736, 6247704, 6100279, 191383, 201227, 6197814, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 6261479, 6256973, 3015529, 213358, 6314363, 392575, 3025314, 6267816, 3017663, 6320579, 5100514]	0.3220446977765798	9.212512549577268e-97	0.007327310236892651	7757586
1986	cervical cancer	2698	hpv|human papillomavirus	609	33	[6304740, 2983228, 6329740, 3014503, 6282442, 2997616, 3539967, 3009902, 3004214, 2869301, 3008153, 3010725, 6318956, 3022864, 3007370, 3513580, 2981783, 3018133, 2983861, 6299907, 3015831, 2996269, 3013712, 2993370, 2998147, 2987050, 6305251, 3020455, 3017555, 3006372, 6100284, 3787451, 3029853]	0.3722045513234066	1.840572575244188e-60	0.054187192118226604	7757586
1987	cervical cancer	2913	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	15244	109	[6129466, 4345508, 2981783, 205904, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 3841750, 168937, 6249764, 195975, 3007372, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 220150, 6271502, 224356, 190133, 6299862, 101081, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 186361, 5475842, 214612, 2989664, 3009194, 3006233, 6280493, 4352394, 191382, 3037680, 21286567, 6802172, 4350736, 2826000, 6247704, 6100279, 191383, 201227, 6197814, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 2838236, 6261479, 2821865, 3033384, 6256973, 3015529, 213358, 6314363, 392575]	0.330817704883871	8.653032628826061e-100	0.007150354237732879	8124507
1987	cervical cancer	2913	hpv|human papillomavirus	887	51	[6304740, 2983228, 6329740, 3014503, 3039146, 2882129, 6282442, 3033296, 2997616, 2821369, 3539967, 3009902, 3004214, 2869301, 3008153, 3010725, 3039733, 6318956, 3022864, 3007370, 3513580, 2981783, 2822583, 3018133, 2983861, 6299907, 3028936, 3038735, 3032185, 3015831, 2996269, 3013712, 3024429, 2993370, 2998147, 2826222, 2987050, 2824682, 6305251, 3020455, 2882384, 2823398, 3017555, 2829688, 3006372, 6100284, 3033384, 3787451, 3029853, 3318755, 21263978]	0.48548368940829584	3.034759662724356e-93	0.05749718151071026	8124507
1988	cervical cancer	3175	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	16419	115	[6129466, 4345508, 2833450, 2981783, 205904, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 175945, 169365, 176392, 3841750, 168937, 6249764, 195975, 3007372, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 2837373, 220150, 6271502, 2831934, 224356, 190133, 6299862, 101081, 2849592, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 186361, 5475842, 214612, 2989664, 3009194, 3006233, 6280493, 4352394, 191382, 3037680, 2848763, 21286567, 6802172, 4350736, 2826000, 6247704, 6100279, 191383, 201227, 6197814, 6299751, 4376680, 6289530, 6279319, 228506, 6274212, 224426, 2838236, 6261479, 2821865, 3033384]	0.33798013576922536	2.9090865746705476e-102	0.007004080638284914	8507506
1988	cervical cancer	3175	hpv|human papillomavirus	1190	81	[6304740, 2983228, 6329740, 3014503, 3039146, 2882129, 6282442, 2831924, 2841858, 3033296, 2997616, 2821369, 3539967, 3009902, 2831120, 3004214, 2869301, 2837431, 2836460, 3008153, 3010725, 3039733, 6318956, 3022864, 2826665, 3007370, 2833450, 3513580, 2981783, 2822583, 3018133, 2983861, 6299907, 3028936, 2841248, 3038735, 3032185, 3015831, 2853999, 2832336, 2830935, 2847864, 2842441, 2996269, 2846776, 3013712, 2841018, 2854000, 3024429, 2849983, 2838970, 2993370, 2839970, 2998147, 2826222, 2839224, 2987050, 2824682, 2835559, 6305251, 2843990, 2895274, 2833408, 3020455, 2823398, 3233083, 2882384, 2831934, 2852515, 2839343, 3017555, 2829688, 2848763, 6100284, 3006372, 21263978, 3787451, 3033384, 2839344, 3029853, 3318755]	0.7049074813067168	7.135454585414178e-152	0.0680672268907563	8507506
